company_id,type,rule_id,text,confidence_pct
GRASIM,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
GRASIM,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
GRASIM,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
HAL,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
HAL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HAL,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
HAL,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HAL,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HAL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
HAL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
HAVELLS,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HAVELLS,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HAVELLS,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
HCLTECH,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,83.0
HCLTECH,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HCLTECH,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HCLTECH,con,C03,Operating margins have declined across the latest three observations,82.0
HDFCBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
HDFCBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HDFCBANK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
HDFCBANK,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HDFCBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
HDFCBANK,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
HDFCBANK,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
HDFCLIFE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
HDFCLIFE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HDFCLIFE,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HDFCLIFE,con,C03,Operating margins have declined across the latest three observations,82.0
HEROMOTOCO,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,81.1
HEROMOTOCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HEROMOTOCO,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HEROMOTOCO,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HEROMOTOCO,con,C03,Operating margins have declined across the latest three observations,82.0
HEROMOTOCO,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
HINDALCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HINDALCO,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HINDALCO,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HINDALCO,con,C03,Operating margins have declined across the latest three observations,82.0
HINDUNILVR,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,80.1
HINDUNILVR,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HINDUNILVR,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
HINDUNILVR,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
HINDUNILVR,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ICICIBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ICICIBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIBANK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
ICICIBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
ICICIBANK,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
ICICIGI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIGI,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ICICIGI,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ICICIGI,con,C03,Operating margins have declined across the latest three observations,82.0
ICICIPRULI,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ICICIPRULI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIPRULI,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ICICIPRULI,con,C03,Operating margins have declined across the latest three observations,82.0
INDIGO,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
INDIGO,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
INDIGO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
INDIGO,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
INDIGO,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
INDIGO,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
INDIGO,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
INDUSINDBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
INDUSINDBK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
INDUSINDBK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
INDUSINDBK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
INDUSINDBK,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
INFY,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,89.8
INFY,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
INFY,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
IOC,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,83.5
IOC,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
IOC,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
IOC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
IOC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
IOC,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
IRCTC,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,94.4
IRCTC,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
IRCTC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
IRCTC,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
IRCTC,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
IRCTC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
IRCTC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
IRCTC,con,C03,Operating margins have declined across the latest three observations,82.0
IRFC,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
IRFC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
IRFC,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
IRFC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
IRFC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
IRFC,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
IRFC,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
ITC,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,87.9
ITC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ITC,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ITC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ITC,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
JINDALSTEL,pro,P12,Operating and financial metrics provide a measurable basis for continued monitoring,65.0
JINDALSTEL,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
JIOFIN,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
JIOFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
JIOFIN,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
JIOFIN,con,C03,Operating margins have declined across the latest three observations,82.0
JIOFIN,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
JSWENERGY,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
JSWENERGY,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
JSWENERGY,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
JSWENERGY,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
JSWSTEEL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
JSWSTEEL,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
KOTAKBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
KOTAKBANK,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
KOTAKBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
KOTAKBANK,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
LICI,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
LICI,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
LICI,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
LICI,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
LICI,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
LICI,con,C03,Operating margins have declined across the latest three observations,82.0
LODHA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
LODHA,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
LT,pro,P12,Operating and financial metrics provide a measurable basis for continued monitoring,65.0
LT,con,C03,Operating margins have declined across the latest three observations,82.0
LTIM,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,82.9
LTIM,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
LTIM,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
LTIM,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
LTIM,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
LTIM,con,C03,Operating margins have declined across the latest three observations,82.0
M&M,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
M&M,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
MARUTI,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
MARUTI,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
MARUTI,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
MOTHERSON,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
MOTHERSON,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
NAUKRI,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
NAUKRI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
NAUKRI,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
NAUKRI,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
NESTLEIND,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
NESTLEIND,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
NESTLEIND,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
NESTLEIND,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
NESTLEIND,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
NHPC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
NHPC,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
NHPC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
NHPC,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
NHPC,con,C12,Revenue growth below 5% CAGR over 5 years indicates limited top-line momentum,80.0
NTPC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
NTPC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
NTPC,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
ONGC,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
ONGC,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
ONGC,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
PFC,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,86.2
PFC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
PFC,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
PFC,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
PIDILITIND,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,80.8
PIDILITIND,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
PIDILITIND,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
PIDILITIND,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
PNB,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
